inf	gerund	parti	presente__1_sing	presente__2_sing_tu	presente__2_sing_usted	presente__3_sing	presente__1_plur	presente__2_plur_vosotros	presente__2_plur_ustedes	presente__3_plur	preterito_imp__1_sing	preterito_imp__2_sing_tu	preterito_imp__2_sing_usted	preterito_imp__3_sing	preterito_imp__1_plur	preterito_imp__2_plur_vosotros	preterito_imp__2_plur_ustedes	preterito_imp__3_plur	presente_perf__1_sing	presente_perf__2_sing_tu	presente_perf__2_sing_usted	presente_perf__3_sing	presente_perf__1_plur	presente_perf__2_plur_vosotros	presente_perf__2_plur_ustedes	presente_perf__3_plur	futuro_imp__1_sing	futuro_imp__2_sing_tu	futuro_imp__2_sing_usted	futuro_imp__3_sing	futuro_imp__1_plur	futuro_imp__2_plur_vosotros	futuro_imp__2_plur_ustedes	futuro_imp__3_plur	cond_simp__1_sing	cond_simp__2_sing_tu	cond_simp__2_sing_usted	cond_simp__3_sing	cond_simp__1_plur	cond_simp__2_plur_vosotros	cond_simp__2_plur_ustedes	cond_simp__3_plur	
conocer	conociendo	conocido	conozco	conoces/conocés	conoce	conoce	conocemos	conocéis	conocen	conocen	conocía	conocías	conocía	conocía	conocíamos	conocíais	conocían	conocían	conocí	conociste	conoció	conoció	conocimos	conocisteis	conocieron	conocieron	conoceré	conocerás	conocerá	conocerá	conoceremos	conoceréis	conocerán	conocerán	conocería	conocerías	conocería	conocería	conoceríamos	conoceríais	conocerían	conocerían	
conseguir	consiguiendo	conseguido	consigo	consigues/conseguís	consigue	consigue	conseguimos	conseguís	consiguen	consiguen	conseguía	conseguías	conseguía	conseguía	conseguíamos	conseguíais	conseguían	conseguían	conseguí	conseguiste	consiguió	consiguió	conseguimos	conseguisteis	consiguieron	consiguieron	conseguiré	conseguirás	conseguirá	conseguirá	conseguiremos	conseguiréis	conseguirán	conseguirán	conseguiría	conseguirías	conseguiría	conseguiría	conseguiríamos	conseguiríais	conseguirían	conseguirían	
conservar	conservando	conservado	conservo	conservas/conservás	conserva	conserva	conservamos	conserváis	conservan	conservan	conservaba	conservabas	conservaba	conservaba	conservábamos	conservabais	conservaban	conservaban	conservé	conservaste	conservó	conservó	conservamos	conservasteis	conservaron	conservaron	conservaré	conservarás	conservará	conservará	conservaremos	conservaréis	conservarán	conservarán	conservaría	conservarías	conservaría	conservaría	conservaríamos	conservaríais	conservarían	conservarían	
considerar	considerando	considerado	considero	consideras/considerás	considera	considera	consideramos	consideráis	consideran	consideran	consideraba	considerabas	consideraba	consideraba	considerábamos	considerabais	consideraban	consideraban	consideré	consideraste	consideró	consideró	consideramos	considerasteis	consideraron	consideraron	consideraré	considerarás	considerará	considerará	consideraremos	consideraréis	considerarán	considerarán	consideraría	considerarías	consideraría	consideraría	consideraríamos	consideraríais	considerarían	considerarían	
consistir	consistiendo	consistido	consisto	consistes/consistís	consiste	consiste	consistimos	consistís	consisten	consisten	consistía	consistías	consistía	consistía	consistíamos	consistíais	consistían	consistían	consistí	consististe	consistió	consistió	consistimos	consististeis	consistieron	consistieron	consistiré	consistirás	consistirá	consistirá	consistiremos	consistiréis	consistirán	consistirán	consistiría	consistirías	consistiría	consistiría	consistiríamos	consistiríais	consistirían	consistirían	
consolidar	consolidando	consolidado	consolido	consolidas/consolidás	consolida	consolida	consolidamos	consolidáis	consolidan	consolidan	consolidaba	consolidabas	consolidaba	consolidaba	consolidábamos	consolidabais	consolidaban	consolidaban	consolidé	consolidaste	consolidó	consolidó	consolidamos	consolidasteis	consolidaron	consolidaron	consolidaré	consolidarás	consolidará	consolidará	consolidaremos	consolidaréis	consolidarán	consolidarán	consolidaría	consolidarías	consolidaría	consolidaría	consolidaríamos	consolidaríais	consolidarían	consolidarían	
construir	construyendo	construido	construyo	construyes/construís	construye	construye	construimos	construís	construyen	construyen	construía	construías	construía	construía	construíamos	construíais	construían	construían	construí	construiste	construyó	construyó	construimos	construisteis	construyeron	construyeron	construiré	construirás	construirá	construirá	construiremos	construiréis	construirán	construirán	construiría	construirías	construiría	construiría	construiríamos	construiríais	construirían	construirían	
consultar	consultando	consultado	consulto	consultas/consultás	consulta	consulta	consultamos	consultáis	consultan	consultan	consultaba	consultabas	consultaba	consultaba	consultábamos	consultabais	consultaban	consultaban	consulté	consultaste	consultó	consultó	consultamos	consultasteis	consultaron	consultaron	consultaré	consultarás	consultará	consultará	consultaremos	consultaréis	consultarán	consultarán	consultaría	consultarías	consultaría	consultaría	consultaríamos	consultaríais	consultarían	consultarían	
contar	contando	contado	cuento	cuentas/contás	cuenta	cuenta	contamos	contáis	cuentan	cuentan	contaba	contabas	contaba	contaba	contábamos	contabais	contaban	contaban	conté	contaste	contó	contó	contamos	contasteis	contaron	contaron	contaré	contarás	contará	contará	contaremos	contaréis	contarán	contarán	contaría	contarías	contaría	contaría	contaríamos	contaríais	contarían	contarían	
contener	conteniendo	contenido	contengo	contienes/contenés	contiene	contiene	contenemos	contenéis	contienen	contienen	contenía	contenías	contenía	contenía	conteníamos	conteníais	contenían	contenían	contuve	contuviste	contuvo	contuvo	contuvimos	contuvisteis	contuvieron	contuvieron	contendré	contendrás	contendrá	contendrá	contendremos	contendréis	contendrán	contendrán	contendría	contendrías	contendría	contendría	contendríamos	contendríais	contendrían	contendrían	
continuar	continuando	continuado	continúo	continúas/continuás	continúa	continúa	continuamos	continuáis	continúan	continúan	continuaba	continuabas	continuaba	continuaba	continuábamos	continuabais	continuaban	continuaban	continué	continuaste	continuó	continuó	continuamos	continuasteis	continuaron	continuaron	continuaré	continuarás	continuará	continuará	continuaremos	continuaréis	continuarán	continuarán	continuaría	continuarías	continuaría	continuaría	continuaríamos	continuaríais	continuarían	continuarían	
contribuir	contribuyendo	contribuido	contribuyo	contribuyes/contribuís	contribuye	contribuye	contribuimos	contribuís	contribuyen	contribuyen	contribuía	contribuías	contribuía	contribuía	contribuíamos	contribuíais	contribuían	contribuían	contribuí	contribuiste	contribuyó	contribuyó	contribuimos	contribuisteis	contribuyeron	contribuyeron	contribuiré	contribuirás	contribuirá	contribuirá	contribuiremos	contribuiréis	contribuirán	contribuirán	contribuiría	contribuirías	contribuiría	contribuiría	contribuiríamos	contribuiríais	contribuirían	contribuirían	
controlar	controlando	controlado	controlo	controlas/controlás	controla	controla	controlamos	controláis	controlan	controlan	controlaba	controlabas	controlaba	controlaba	controlábamos	controlabais	controlaban	controlaban	controlé	controlaste	controló	controló	controlamos	controlasteis	controlaron	controlaron	controlaré	controlarás	controlará	controlará	controlaremos	controlaréis	controlarán	controlarán	controlaría	controlarías	controlaría	controlaría	controlaríamos	controlaríais	controlarían	controlarían	
convertir	convirtiendo	convertido	convierto	conviertes/convertís	convierte	convierte	convertimos	convertís	convierten	convierten	convertía	convertías	convertía	convertía	convertíamos	convertíais	convertían	convertían	convertí	convertiste	convirtió	convirtió	convertimos	convertisteis	convirtieron	convirtieron	convertiré	convertirás	convertirá	convertirá	convertiremos	convertiréis	convertirán	convertirán	convertiría	convertirías	convertiría	convertiría	convertiríamos	convertiríais	convertirían	convertirían	
cooperar	cooperando	cooperado	coopero	cooperas/cooperás	coopera	coopera	cooperamos	cooperáis	cooperan	cooperan	cooperaba	cooperabas	cooperaba	cooperaba	cooperábamos	cooperabais	cooperaban	cooperaban	cooperé	cooperaste	cooperó	cooperó	cooperamos	cooperasteis	cooperaron	cooperaron	cooperaré	cooperarás	cooperará	cooperará	cooperaremos	cooperaréis	cooperarán	cooperarán	cooperaría	cooperarías	cooperaría	cooperaría	cooperaríamos	cooperaríais	cooperarían	cooperarían	
coordinar	coordinando	coordinado	coordino	coordinas/coordinás	coordina	coordina	coordinamos	coordináis	coordinan	coordinan	coordinaba	coordinabas	coordinaba	coordinaba	coordinábamos	coordinabais	coordinaban	coordinaban	coordiné	coordinaste	coordinó	coordinó	coordinamos	coordinasteis	coordinaron	coordinaron	coordinaré	coordinarás	coordinará	coordinará	coordinaremos	coordinaréis	coordinarán	coordinarán	coordinaría	coordinarías	coordinaría	coordinaría	coordinaríamos	coordinaríais	coordinarían	coordinarían	
correr	corriendo	corrido	corro	corres/corrés	corre	corre	corremos	corréis	corren	corren	corría	corrías	corría	corría	corríamos	corríais	corrían	corrían	corrí	corriste	corrió	corrió	corrimos	corristeis	corrieron	corrieron	correré	correrás	correrá	correrá	correremos	correréis	correrán	correrán	correría	correrías	correría	correría	correríamos	correríais	correrían	correrían	
cortar	cortando	cortado	corto	cortas/cortás	corta	corta	cortamos	cortáis	cortan	cortan	cortaba	cortabas	cortaba	cortaba	cortábamos	cortabais	cortaban	cortaban	corté	cortaste	cortó	cortó	cortamos	cortasteis	cortaron	cortaron	cortaré	cortarás	cortará	cortará	cortaremos	cortaréis	cortarán	cortarán	cortaría	cortarías	cortaría	cortaría	cortaríamos	cortaríais	cortarían	cortarían	
crear	creando	creado	creo	creas/creás	crea	crea	creamos	creáis	crean	crean	creaba	creabas	creaba	creaba	creábamos	creabais	creaban	creaban	creé	creaste	creó	creó	creamos	creasteis	crearon	crearon	crearé	crearás	creará	creará	crearemos	crearéis	crearán	crearán	crearía	crearías	crearía	crearía	crearíamos	crearíais	crearían	crearían	
crecer	creciendo	crecido	crezco	creces/crecés	crece	crece	crecemos	crecéis	crecen	crecen	crecía	crecías	crecía	crecía	crecíamos	crecíais	crecían	crecían	crecí	creciste	creció	creció	crecimos	crecisteis	crecieron	crecieron	creceré	crecerás	crecerá	crecerá	creceremos	creceréis	crecerán	crecerán	crecería	crecerías	crecería	crecería	creceríamos	creceríais	crecerían	crecerían	
creer	creyendo	creído	creo	crees/creés	cree	cree	creemos	creéis	creen	creen	creía	creías	creía	creía	creíamos	creíais	creían	creían	creí	creíste	creyó	creyó	creímos	creísteis	creyeron	creyeron	creeré	creerás	creerá	creerá	creeremos	creeréis	creerán	creerán	creería	creerías	creería	creería	creeríamos	creeríais	creerían	creerían	
cubrir	cubriendo	cubierto	cubro	cubres/cubrís	cubre	cubre	cubrimos	cubrís	cubren	cubren	cubría	cubrías	cubría	cubría	cubríamos	cubríais	cubrían	cubrían	cubrí	cubriste	cubrió	cubrió	cubrimos	cubristeis	cubrieron	cubrieron	cubriré	cubrirás	cubrirá	cubrirá	cubriremos	cubriréis	cubrirán	cubrirán	cubriría	cubrirías	cubriría	cubriría	cubriríamos	cubriríais	cubrirían	cubrirían	
cuidar	cuidando	cuidado	cuido	cuidas/cuidás	cuida	cuida	cuidamos	cuidáis	cuidan	cuidan	cuidaba	cuidabas	cuidaba	cuidaba	cuidábamos	cuidabais	cuidaban	cuidaban	cuidé	cuidaste	cuidó	cuidó	cuidamos	cuidasteis	cuidaron	cuidaron	cuidaré	cuidarás	cuidará	cuidará	cuidaremos	cuidaréis	cuidarán	cuidarán	cuidaría	cuidarías	cuidaría	cuidaría	cuidaríamos	cuidaríais	cuidarían	cuidarían	
cumplir	cumpliendo	cumplido	cumplo	cumples/cumplís	cumple	cumple	cumplimos	cumplís	cumplen	cumplen	cumplía	cumplías	cumplía	cumplía	cumplíamos	cumplíais	cumplían	cumplían	cumplí	cumpliste	cumplió	cumplió	cumplimos	cumplisteis	cumplieron	cumplieron	cumpliré	cumplirás	cumplirá	cumplirá	cumpliremos	cumpliréis	cumplirán	cumplirán	cumpliría	cumplirías	cumpliría	cumpliría	cumpliríamos	cumpliríais	cumplirían	cumplirían	
dar	dando	dado	doy	das	da	da	damos	dais	dan	dan	daba	dabas	daba	daba	dábamos	dabais	daban	daban	di	diste	dio	dio	dimos	disteis	dieron	dieron	daré	darás	dará	dará	daremos	daréis	darán	darán	daría	darías	daría	daría	daríamos	daríais	darían	darían	
decidir	decidiendo	decidido	decido	decides/decidís	decide	decide	decidimos	decidís	deciden	deciden	decidía	decidías	decidía	decidía	decidíamos	decidíais	decidían	decidían	decidí	decidiste	decidió	decidió	decidimos	decidisteis	decidieron	decidieron	decidiré	decidirás	decidirá	decidirá	decidiremos	decidiréis	decidirán	decidirán	decidiría	decidirías	decidiría	decidiría	decidiríamos	decidiríais	decidirían	decidirían	
decir	diciendo	dicho	digo	dices/decís	dice	dice	decimos	decís	dicen	dicen	decía	decías	decía	decía	decíamos	decíais	decían	decían	dije	dijiste	dijo	dijo	dijimos	dijisteis	dijeron	dijeron	diré	dirás	dirá	dirá	diremos	diréis	dirán	dirán	diría	dirías	diría	diría	diríamos	diríais	dirían	dirían	
defender	defendiendo	defendido	defiendo	defiendes/defendés	defiende	defiende	defendemos	defendéis	defienden	defienden	defendía	defendías	defendía	defendía	defendíamos	defendíais	defendían	defendían	defendí	defendiste	defendió	defendió	defendimos	defendisteis	defendieron	defendieron	defenderé	defenderás	defenderá	defenderá	defenderemos	defenderéis	defenderán	defenderán	defendería	defenderías	defendería	defendería	defenderíamos	defenderíais	defenderían	defenderían	
definir	definiendo	definido	defino	defines/definís	define	define	definimos	definís	definen	definen	definía	definías	definía	definía	definíamos	definíais	definían	definían	definí	definiste	definió	definió	definimos	definisteis	definieron	definieron	definiré	definirás	definirá	definirá	definiremos	definiréis	definirán	definirán	definiría	definirías	definiría	definiría	definiríamos	definiríais	definirían	definirían	
dejar	dejando	dejado	dejo	dejas/dejás	deja	deja	dejamos	dejáis	dejan	dejan	dejaba	dejabas	dejaba	dejaba	dejábamos	dejabais	dejaban	dejaban	dejé	dejaste	dejó	dejó	dejamos	dejasteis	dejaron	dejaron	dejaré	dejarás	dejará	dejará	dejaremos	dejaréis	dejarán	dejarán	dejaría	dejarías	dejaría	dejaría	dejaríamos	dejaríais	dejarían	dejarían	
demostrar	demostrando	demostrado	demuestro	demuestras/demostrás	demuestra	demuestra	demostramos	demostráis	demuestran	demuestran	demostraba	demostrabas	demostraba	demostraba	demostrábamos	demostrabais	demostraban	demostraban	demostré	demostraste	demostró	demostró	demostramos	demostrasteis	demostraron	demostraron	demostraré	demostrarás	demostrará	demostrará	demostraremos	demostraréis	demostrarán	demostrarán	demostraría	demostrarías	demostraría	demostraría	demostraríamos	demostraríais	demostrarían	demostrarían	
depender	dependiendo	dependido	dependo	dependes/dependés	depende	depende	dependemos	dependéis	dependen	dependen	dependía	dependías	dependía	dependía	dependíamos	dependíais	dependían	dependían	dependí	dependiste	dependió	dependió	dependimos	dependisteis	dependieron	dependieron	dependeré	dependerás	dependerá	dependerá	dependeremos	dependeréis	dependerán	dependerán	dependería	dependerías	dependería	dependería	dependeríamos	dependeríais	dependerían	dependerían	
desarrollar	desarrollando	desarrollado	desarrollo	desarrollas/desarrollás	desarrolla	desarrolla	desarrollamos	desarrolláis	desarrollan	desarrollan	desarrollaba	desarrollabas	desarrollaba	desarrollaba	desarrollábamos	desarrollabais	desarrollaban	desarrollaban	desarrollé	desarrollaste	desarrolló	desarrolló	desarrollamos	desarrollasteis	desarrollaron	desarrollaron	desarrollaré	desarrollarás	desarrollará	desarrollará	desarrollaremos	desarrollaréis	desarrollarán	desarrollarán	desarrollaría	desarrollarías	desarrollaría	desarrollaría	desarrollaríamos	desarrollaríais	desarrollarían	desarrollarían	
descargar	descargando	descargado	descargo	descargas/descargás	descarga	descarga	descargamos	descargáis	descargan	descargan	descargaba	descargabas	descargaba	descargaba	descargábamos	descargabais	descargaban	descargaban	descargué	descargaste	descargó	descargó	descargamos	descargasteis	descargaron	descargaron	descargaré	descargarás	descargará	descargará	descargaremos	descargaréis	descargarán	descargarán	descargaría	descargarías	descargaría	descargaría	descargaríamos	descargaríais	descargarían	descargarían	
describir	describiendo	descrito,descripto	describo	describes/describís	describe	describe	describimos	describís	describen	describen	describía	describías	describía	describía	describíamos	describíais	describían	describían	describí	describiste	describió	describió	describimos	describisteis	describieron	describieron	describiré	describirás	describirá	describirá	describiremos	describiréis	describirán	describirán	describiría	describirías	describiría	describiría	describiríamos	describiríais	describirían	describirían	
descubrir	descubriendo	descubierto	descubro	descubres/descubrís	descubre	descubre	descubrimos	descubrís	descubren	descubren	descubría	descubrías	descubría	descubría	descubríamos	descubríais	descubrían	descubrían	descubrí	descubriste	descubrió	descubrió	descubrimos	descubristeis	descubrieron	descubrieron	descubriré	descubrirás	descubrirá	descubrirá	descubriremos	descubriréis	descubrirán	descubrirán	descubriría	descubrirías	descubriría	descubriría	descubriríamos	descubriríais	descubrirían	descubrirían	
desempeñar	desempeñando	desempeñado	desempeño	desempeñas/desempeñás	desempeña	desempeña	desempeñamos	desempeñáis	desempeñan	desempeñan	desempeñaba	desempeñabas	desempeñaba	desempeñaba	desempeñábamos	desempeñabais	desempeñaban	desempeñaban	desempeñé	desempeñaste	desempeñó	desempeñó	desempeñamos	desempeñasteis	desempeñaron	desempeñaron	desempeñaré	desempeñarás	desempeñará	desempeñará	desempeñaremos	desempeñaréis	desempeñarán	desempeñarán	desempeñaría	desempeñarías	desempeñaría	desempeñaría	desempeñaríamos	desempeñaríais	desempeñarían	desempeñarían	
designar	designando	designado	designo	designas/designás	designa	designa	designamos	designáis	designan	designan	designaba	designabas	designaba	designaba	designábamos	designabais	designaban	designaban	designé	designaste	designó	designó	designamos	designasteis	designaron	designaron	designaré	designarás	designará	designará	designaremos	designaréis	designarán	designarán	designaría	designarías	designaría	designaría	designaríamos	designaríais	designarían	designarían	
destacar	destacando	destacado	destaco	destacas/destacás	destaca	destaca	destacamos	destacáis	destacan	destacan	destacaba	destacabas	destacaba	destacaba	destacábamos	destacabais	destacaban	destacaban	destaqué	destacaste	destacó	destacó	destacamos	destacasteis	destacaron	destacaron	destacaré	destacarás	destacará	destacará	destacaremos	destacaréis	destacarán	destacarán	destacaría	destacarías	destacaría	destacaría	destacaríamos	destacaríais	destacarían	destacarían	
destruir	destruyendo	destruido	destruyo	destruyes/destruís	destruye	destruye	destruimos	destruís	destruyen	destruyen	destruía	destruías	destruía	destruía	destruíamos	destruíais	destruían	destruían	destruí	destruiste	destruyó	destruyó	destruimos	destruisteis	destruyeron	destruyeron	destruiré	destruirás	destruirá	destruirá	destruiremos	destruiréis	destruirán	destruirán	destruiría	destruirías	destruiría	destruiría	destruiríamos	destruiríais	destruirían	destruirían	
detener	deteniendo	detenido	detengo	detienes/detenés	detiene	detiene	detenemos	detenéis	detienen	detienen	detenía	detenías	detenía	detenía	deteníamos	deteníais	detenían	detenían	detuve	detuviste	detuvo	detuvo	detuvimos	detuvisteis	detuvieron	detuvieron	detendré	detendrás	detendrá	detendrá	detendremos	detendréis	detendrán	detendrán	detendría	detendrías	detendría	detendría	detendríamos	detendríais	detendrían	detendrían	
determinar	determinando	determinado	determino	determinas/determinás	determina	determina	determinamos	determináis	determinan	determinan	determinaba	determinabas	determinaba	determinaba	determinábamos	determinabais	determinaban	determinaban	determiné	determinaste	determinó	determinó	determinamos	determinasteis	determinaron	determinaron	determinaré	determinarás	determinará	determinará	determinaremos	determinaréis	determinarán	determinarán	determinaría	determinarías	determinaría	determinaría	determinaríamos	determinaríais	determinarían	determinarían	
dirigir	dirigiendo	dirigido	dirijo	diriges/dirigís	dirige	dirige	dirigimos	dirigís	dirigen	dirigen	dirigía	dirigías	dirigía	dirigía	dirigíamos	dirigíais	dirigían	dirigían	dirigí	dirigiste	dirigió	dirigió	dirigimos	dirigisteis	dirigieron	dirigieron	dirigiré	dirigirás	dirigirá	dirigirá	dirigiremos	dirigiréis	dirigirán	dirigirán	dirigiría	dirigirías	dirigiría	dirigiría	dirigiríamos	dirigiríais	dirigirían	dirigirían	
discutir	discutiendo	discutido	discuto	discutes/discutís	discute	discute	discutimos	discutís	discuten	discuten	discutía	discutías	discutía	discutía	discutíamos	discutíais	discutían	discutían	discutí	discutiste	discutió	discutió	discutimos	discutisteis	discutieron	discutieron	discutiré	discutirás	discutirá	discutirá	discutiremos	discutiréis	discutirán	discutirán	discutiría	discutirías	discutiría	discutiría	discutiríamos	discutiríais	discutirían	discutirían	
disfrutar	disfrutando	disfrutado	disfruto	disfrutas/disfrutás	disfruta	disfruta	disfrutamos	disfrutáis	disfrutan	disfrutan	disfrutaba	disfrutabas	disfrutaba	disfrutaba	disfrutábamos	disfrutabais	disfrutaban	disfrutaban	disfruté	disfrutaste	disfrutó	disfrutó	disfrutamos	disfrutasteis	disfrutaron	disfrutaron	disfrutaré	disfrutarás	disfrutará	disfrutará	disfrutaremos	disfrutaréis	disfrutarán	disfrutarán	disfrutaría	disfrutarías	disfrutaría	disfrutaría	disfrutaríamos	disfrutaríais	disfrutarían	disfrutarían	
dormir	durmiendo	dormido	duermo	duermes/dormís	duerme	duerme	dormimos	dormís	duermen	duermen	dormía	dormías	dormía	dormía	dormíamos	dormíais	dormían	dormían	dormí	dormiste	durmió	durmió	dormimos	dormisteis	durmieron	durmieron	dormiré	dormirás	dormirá	dormirá	dormiremos	dormiréis	dormirán	dormirán	dormiría	dormirías	dormiría	dormiría	dormiríamos	dormiríais	dormirían	dormirían	
ejecutar	ejecutando	ejecutado	ejecuto	ejecutas/ejecutás	ejecuta	ejecuta	ejecutamos	ejecutáis	ejecutan	ejecutan	ejecutaba	ejecutabas	ejecutaba	ejecutaba	ejecutábamos	ejecutabais	ejecutaban	ejecutaban	ejecuté	ejecutaste	ejecutó	ejecutó	ejecutamos	ejecutasteis	ejecutaron	ejecutaron	ejecutaré	ejecutarás	ejecutará	ejecutará	ejecutaremos	ejecutaréis	ejecutarán	ejecutarán	ejecutaría	ejecutarías	ejecutaría	ejecutaría	ejecutaríamos	ejecutaríais	ejecutarían	ejecutarían	
ejercer	ejerciendo	ejercido	ejerzo	ejerces/ejercés	ejerce	ejerce	ejercemos	ejercéis	ejercen	ejercen	ejercía	ejercías	ejercía	ejercía	ejercíamos	ejercíais	ejercían	ejercían	ejercí	ejerciste	ejerció	ejerció	ejercimos	ejercisteis	ejercieron	ejercieron	ejerceré	ejercerás	ejercerá	ejercerá	ejerceremos	ejerceréis	ejercerán	ejercerán	ejercería	ejercerías	ejercería	ejercería	ejerceríamos	ejerceríais	ejercerían	ejercerían	
elaborar	elaborando	elaborado	elaboro	elaboras/elaborás	elabora	elabora	elaboramos	elaboráis	elaboran	elaboran	elaboraba	elaborabas	elaboraba	elaboraba	elaborábamos	elaborabais	elaboraban	elaboraban	elaboré	elaboraste	elaboró	elaboró	elaboramos	elaborasteis	elaboraron	elaboraron	elaboraré	elaborarás	elaborará	elaborará	elaboraremos	elaboraréis	elaborarán	elaborarán	elaboraría	elaborarías	elaboraría	elaboraría	elaboraríamos	elaboraríais	elaborarían	elaborarían	
elegir	eligiendo	elegido,electo	elijo	eliges/elegís	elige	elige	elegimos	elegís	eligen	eligen	elegía	elegías	elegía	elegía	elegíamos	elegíais	elegían	elegían	elegí	elegiste	eligió	eligió	elegimos	elegisteis	eligieron	eligieron	elegiré	elegirás	elegirá	elegirá	elegiremos	elegiréis	elegirán	elegirán	elegiría	elegirías	elegiría	elegiría	elegiríamos	elegiríais	elegirían	elegirían	
eliminar	eliminando	eliminado	elimino	eliminas/eliminás	elimina	elimina	eliminamos	elimináis	eliminan	eliminan	eliminaba	eliminabas	eliminaba	eliminaba	eliminábamos	eliminabais	eliminaban	eliminaban	eliminé	eliminaste	eliminó	eliminó	eliminamos	eliminasteis	eliminaron	eliminaron	eliminaré	eliminarás	eliminará	eliminará	eliminaremos	eliminaréis	eliminarán	eliminarán	eliminaría	eliminarías	eliminaría	eliminaría	eliminaríamos	eliminaríais	eliminarían	eliminarían	
empezar	empezando	empezado	empiezo	empiezas/empezás	empieza	empieza	empezamos	empezáis	empiezan	empiezan	empezaba	empezabas	empezaba	empezaba	empezábamos	empezabais	empezaban	empezaban	empecé	empezaste	empezó	empezó	empezamos	empezasteis	empezaron	empezaron	empezaré	empezarás	empezará	empezará	empezaremos	empezaréis	empezarán	empezarán	empezaría	empezarías	empezaría	empezaría	empezaríamos	empezaríais	empezarían	empezarían	
encontrar	encontrando	encontrado	encuentro	encuentras/encontrás	encuentra	encuentra	encontramos	encontráis	encuentran	encuentran	encontraba	encontrabas	encontraba	encontraba	encontrábamos	encontrabais	encontraban	encontraban	encontré	encontraste	encontró	encontró	encontramos	encontrasteis	encontraron	encontraron	encontraré	encontrarás	encontrará	encontrará	encontraremos	encontraréis	encontrarán	encontrarán	encontraría	encontrarías	encontraría	encontraría	encontraríamos	encontraríais	encontrarían	encontrarían	
enfrentar	enfrentando	enfrentado	enfrento	enfrentas/enfrentás	enfrenta	enfrenta	enfrentamos	enfrentáis	enfrentan	enfrentan	enfrentaba	enfrentabas	enfrentaba	enfrentaba	enfrentábamos	enfrentabais	enfrentaban	enfrentaban	enfrenté	enfrentaste	enfrentó	enfrentó	enfrentamos	enfrentasteis	enfrentaron	enfrentaron	enfrentaré	enfrentarás	enfrentará	enfrentará	enfrentaremos	enfrentaréis	enfrentarán	enfrentarán	enfrentaría	enfrentarías	enfrentaría	enfrentaría	enfrentaríamos	enfrentaríais	enfrentarían	enfrentarían	
enseñar	enseñando	enseñado	enseño	enseñas/enseñás	enseña	enseña	enseñamos	enseñáis	enseñan	enseñan	enseñaba	enseñabas	enseñaba	enseñaba	enseñábamos	enseñabais	enseñaban	enseñaban	enseñé	enseñaste	enseñó	enseñó	enseñamos	enseñasteis	enseñaron	enseñaron	enseñaré	enseñarás	enseñará	enseñará	enseñaremos	enseñaréis	enseñarán	enseñarán	enseñaría	enseñarías	enseñaría	enseñaría	enseñaríamos	enseñaríais	enseñarían	enseñarían	
entender	entendiendo	entendido	entiendo	entiendes/entendés	entiende	entiende	entendemos	entendéis	entienden	entienden	entendía	entendías	entendía	entendía	entendíamos	entendíais	entendían	entendían	entendí	entendiste	entendió	entendió	entendimos	entendisteis	entendieron	entendieron	entenderé	entenderás	entenderá	entenderá	entenderemos	entenderéis	entenderán	entenderán	entendería	entenderías	entendería	entendería	entenderíamos	entenderíais	entenderían	entenderían	
entrar	entrando	entrado	entro	entras/entrás	entra	entra	entramos	entráis	entran	entran	entraba	entrabas	entraba	entraba	entrábamos	entrabais	entraban	entraban	entré	entraste	entró	entró	entramos	entrasteis	entraron	entraron	entraré	entrarás	entrará	entrará	entraremos	entraréis	entrarán	entrarán	entraría	entrarías	entraría	entraría	entraríamos	entraríais	entrarían	entrarían	
enviar	enviando	enviado	envío	envías/enviás	envía	envía	enviamos	enviáis	envían	envían	enviaba	enviabas	enviaba	enviaba	enviábamos	enviabais	enviaban	enviaban	envié	enviaste	envió	envió	enviamos	enviasteis	enviaron	enviaron	enviaré	enviarás	enviará	enviará	enviaremos	enviaréis	enviarán	enviarán	enviaría	enviarías	enviaría	enviaría	enviaríamos	enviaríais	enviarían	enviarían	
escapar	escapando	escapado	escapo	escapas/escapás	escapa	escapa	escapamos	escapáis	escapan	escapan	escapaba	escapabas	escapaba	escapaba	escapábamos	escapabais	escapaban	escapaban	escapé	escapaste	escapó	escapó	escapamos	escapasteis	escaparon	escaparon	escaparé	escaparás	escapará	escapará	escaparemos	escaparéis	escaparán	escaparán	escaparía	escaparías	escaparía	escaparía	escaparíamos	escaparíais	escaparían	escaparían	
escribir	escribiendo	escrito	escribo	escribes/escribís	escribe	escribe	escribimos	escribís	escriben	escriben	escribía	escribías	escribía	escribía	escribíamos	escribíais	escribían	escribían	escribí	escribiste	escribió	escribió	escribimos	escribisteis	escribieron	escribieron	escribiré	escribirás	escribirá	escribirá	escribiremos	escribiréis	escribirán	escribirán	escribiría	escribirías	escribiría	escribiría	escribiríamos	escribiríais	escribirían	escribirían	
escuchar	escuchando	escuchado	escucho	escuchas/escuchás	escucha	escucha	escuchamos	escucháis	escuchan	escuchan	escuchaba	escuchabas	escuchaba	escuchaba	escuchábamos	escuchabais	escuchaban	escuchaban	escuché	escuchaste	escuchó	escuchó	escuchamos	escuchasteis	escucharon	escucharon	escucharé	escucharás	escuchará	escuchará	escucharemos	escucharéis	escucharán	escucharán	escucharía	escucharías	escucharía	escucharía	escucharíamos	escucharíais	escucharían	escucharían	
